"ANIO","CodDane","TOTAL Terminales MinTIC","PC entregados MinTIC","Tabletas MinTIC Estudiantes","Tabletas MinTIC Docentes","PC MinTIC Docentes","Retoma de PC","Docentes Formados","Padres Capacitados","Tabletas aportadas por ET","PC aportados por ET","FECHA_CORTE","Inversión","Niños por terminal municipal","Niños por terminal departamental","DEPARTAMENTO","Meta Terminales entregadas Mintic","Meta Docentes Formados","Meta Padres Capacitados","Meta Retoma de PC","VIGENCIA","Demanufactura (toneladas)","meta Demanufactura","docentes acompañados","Meta docentes acompañados","Sedes beneficiadas"
"2022","52356",,"0","0","0","0","0","1",",00","0","0","2022-09-30",",00","3,00","4,00","NARI�O","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","1,00","4000,00",",00"
"2022","13473",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","6,77","BOLIVAR","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","13440",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","6,77","BOLIVAR","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","15763",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","5,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","05059",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","47053",,"0","0","0","0","0","3",",00","0","0","2022-10-31",",00","9,00","6,00","MAGDALENA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","3,00","4000,00",",00"
"2022","05854",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","5,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","52621",,"0","0","0","0","0","3",",00","0","0","2022-10-31",",00","7,00","4,00","NARI�O","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","3,00","4000,00",",00"
"2022","05284",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","5,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","27660",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","9,00","6,00","CHOCO","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","15204",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","5,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","05172",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","5,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","41357",,"0","0","0","0","0","3",",00","0","0","2022-09-30",",00","3,00","3,00","HUILA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","3,00","4000,00",",00"
"2022","47980",,"0","0","0","0","0","10",",00","0","0","2022-10-31",",00","4,00","6,00","MAGDALENA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","10,00","4000,00",",00"
"2022","05847",,"0","0","0","0","47","0",",00","0","0","2022-09-30",",00","5,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","25035",,"0","0","0","0","0","5",",00","0","0","2022-10-31",",00","3,00","2,00","CUNDINAMARCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","5,00","4000,00",",00"
